from,to
Grothus,BfB
Hasselfeldt,DRK
Hasselfeldt,CSU
Herntier,Spremberg
Herntier,Textilveredler
Kaiser,Greenpeace
Kampeter,Finanzministerium
Kampeter,BDA
Kampeter,CDU
Kapferer,BDEW
Kapferer,FDP
Kempf,BDI
Koerzell,DGB
Koerzell,SPD
Kreuzberg,CDU
Kreuzberg,REK
Laemmel,CDU
Lenz,CSU
Matthes,OEI
Miersch,SPD
Nemat,Telekom
Nemat,McKinsey
Niebert,DNR
Niebert,UZH
Niebert,NFD
Niebuhr,CAU
Platzeck,SPD
Pofalla,CDU
Pofalla,DB
Praetorius,ThinktanksAgora
Praetorius,HTWB
Priggen,Gruenen
Priggen,LEENRW
Priggen,LEENRW
Priggen,Gruenen
Reiche,VKU
Reiche,CDU
Reiche,Verkehrsministerium
Roestel,Stadtentwaesserung
Roestel,EnBW
Roestel,Gruenen
Scheidt,Verdi
Scheidt,Eon
Scheidt,SPD
Schellnhuber,PIK
Schellnhuber,UP
Schellnhuber,SRC
Schellnhuber,WBGU
Schellnhuber,IPCC
Schoenefeld,BA
Schweitzer,DIHT
Schweitzer,Alba
Schweitzer,FDP
Tillich,CDU
Vassiliadis,IGBCE
Vassiliadis,SPD
Wehrspohn,IMWS
Wehrspohn,MLU
Weiger,BUND
Weiger,RNE
Wodtke,CDU
Wodtke,GZW
Wodtke,Bergbaugeschaedigte
