id,name,type,sex,age,party,representation,position,state,birth place
Alba,Entsorgungskonzern Alba,1,99,99,99,99,99,99,99
BA,Bundesagentur fuer Arbeit,1,99,99,99,99,99,99,99
BDA,Bundesvereinigung der Deutschen Arbeitgeberverbaende,1,99,99,99,99,99,99,99
BDEW,Bundesverbands der Energie- und Wasserwirtschaft,1,99,99,99,99,99,99,99
BDI,Bundesverband der Deutschen Industrie,1,99,99,99,99,99,99,99
Bergbaugeschaedigte,Netzwerk Bergbaugeschaedigter,1,99,99,99,99,99,99,99
BfB,Initaitive Buirer für Buir,1,99,99,99,99,99,99,99
BUND,Bundes fuer Umwelt und Naturschutz Deutschland,1,99,99,99,99,99,99,99
CAU,Christian-Albrechts-Universitaet zu Kiel,1,99,99,99,99,99,99,99
CDU,Christlich Demokratische Union Deutschlands,1,99,99,1,99,99,99,99
CSU,Christlich-Soziale Union in Bayern,1,99,99,7,99,99,99,99
DB,Deutsche Bahn,1,99,99,99,99,99,99,99
DGB,Deutscher Gewerkschaftsbund,1,99,99,99,99,99,99,99
DIHT,Deutscher Industrie- und Handelskammertag,1,99,99,99,99,99,99,99
DNR,Dachverbandes Deutscher Naturschutzring,1,99,99,99,99,99,99,99
DRK,Deutsches Rotes Kreuz,1,99,99,99,99,99,99,99
EnBW,EnBW Energie Baden-Wuerttemberg,1,99,99,99,99,99,99,99
Eon,Energiekonzern Eon,1,99,99,99,99,99,99,99
FDP,Freie Demokratische Partei,1,99,99,4,99,99,99,99
Finanzministerium,Finanzministerium,1,99,99,99,99,99,99,99
Greenpeace,Greenpeace,1,99,99,99,99,99,99,99
Grothus,Antje Grothus,0,1,4,99,5,2,10,10
Gruenen,Buendnis 90/Die Gruenen,1,99,99,6,99,99,99,99
GZW,Gruene Zukunft Welzow,1,99,99,99,99,99,99,99
Hasselfeldt,Gerda Hasselfeldt,0,1,2,7,1,2,2,3
Herntier,Christine Herntier,0,1,3,99,5,2,4,99
HTWB,Hochschule für Technik und Wirtschaft Berlin,1,99,99,99,99,99,99,99
IGBCE,Industriegewerkschaft Bergbau Chemie Energie,1,99,99,99,99,99,99,99
IMWS,Fraunhofer-Instituts für Mikrostruktur von Werkstoffen und Systemen,1,99,99,99,99,99,99,99
IPCC,Weltklimarat IPCC,1,99,99,99,99,99,99,99
Kaiser,Martin Kaiser,0,2,4,99,4,2,99,99
Kampeter,Steffen Kampeter,0,2,4,1,2,2,3,10
